State_name,FIPS_code,Area_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,State_code
Alaska,02921,District 21,3690.0,5414.0,9482.0,-1724.0,0.3891584053997047,0.5709765872178865,-0.1818181818181817,AK
Alaska,02922,District 22,4684.0,4553.0,9597.0,131.0,0.4880691882880066,0.4744190892987392,0.0136500989892674,AK
Alaska,02923,District 23,3655.0,3810.0,7796.0,-155.0,0.4688301693175987,0.4887121600820934,-0.0198819907644946,AK
Alaska,02924,District 24,5378.0,4736.0,10484.0,642.0,0.5129721480351012,0.4517359786341091,0.061236169400992,AK
Alaska,02925,District 25,4407.0,4600.0,9369.0,-193.0,0.4703810438680755,0.4909808944391077,-0.0205998505710321,AK
Alaska,02926,District 26,5243.0,4558.0,20292.0,685.0,0.2583776857875025,0.2246205401143307,0.0337571456731717,AK
Alaska,02927,District 27,4324.0,4844.0,19037.0,-520.0,0.2271366286704838,0.2544518569102274,-0.0273152282397436,AK
Alaska,02928,District 28,6162.0,6264.0,25580.0,-102.0,0.2408913213448006,0.2448788115715402,-0.0039874902267396,AK
Alaska,02929,District 29,7464.0,2985.0,10784.0,4479.0,0.6921364985163204,0.2767989614243323,0.415337537091988,AK
Alaska,02930,District 30,7180.0,2638.0,10226.0,4542.0,0.7021318208488168,0.2579698806962644,0.4441619401525523,AK
Alaska,02931,District 31,6971.0,5037.0,12481.0,1934.0,0.5585289640253185,0.4035734316160564,0.154955532409262,AK
Alaska,02932,District 32,4440.0,3506.0,8361.0,934.0,0.5310369573017582,0.419327831599091,0.1117091257026671,AK
Alaska,02933,District 33,3059.0,7535.0,11016.0,-4476.0,0.2776870007262164,0.6840050835148874,-0.406318082788671,AK
Alaska,02934,District 34,4543.0,5763.0,10794.0,-1220.0,0.420881971465629,0.5339077265147304,-0.1130257550491013,AK
Alaska,02935,District 35,4769.0,5011.0,10149.0,-242.0,0.4698985121686865,0.4937432259335895,-0.0238447137649029,AK
Alaska,02936,District 36,5114.0,3796.0,9292.0,1318.0,0.550365906155833,0.4085234610417563,0.1418424451140766,AK
Alaska,02937,District 37,2358.0,2560.0,5168.0,-202.0,0.4562693498452012,0.4953560371517028,-0.0390866873065015,AK
Alaska,02938,District 38,1737.0,3202.0,5299.0,-1465.0,0.3277976976788073,0.6042649556520098,-0.2764672579732024,AK
Alaska,02939,District 39,1939.0,3580.0,5930.0,-1641.0,0.3269814502529511,0.6037099494097807,-0.2767284991568296,AK
Alaska,02940,District 40,1994.0,2318.0,4628.0,-324.0,0.4308556611927398,0.5008643042350908,-0.0700086430423509,AK
Arizona,04001,Apache County,11442.0,23293.0,35183.0,-11851.0,0.3252138817042321,0.662052695904272,-0.3368388142000398,AZ
